ProjectId,LifeCycleMonths,Scenario,Category,Value basis,Base year,Applicant comment,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
CL-001,36,PP,Commercial debt drawn,Real,2025,,8229.98872604284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Principal repayment,Real,2025,,1028.748590755355,1058.323662981129,1037.57221860895,1017.2276653028922,997.2820248067569,977.7274753007422,958.556348334061,939.7611258177069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Interest paid,Real,2025,,360.0620067643743,317.4970988943387,259.3930546522375,203.44553306057844,149.59230372101354,97.77274753007423,47.92781741670305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Fees,Real,2025,,51.437429537767756,52.91618314905645,51.8786109304475,50.86138326514461,49.864101240337845,48.88637376503711,47.92781741670305,46.988056290885346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Concessionary loan assumed,Real,2025,,102874.85907553551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Principal repayment,Real,2025,,12859.357384441939,13229.045787264113,12969.652732611876,12715.345816286153,12466.02531008446,12221.593441259278,11981.954354175763,11747.014072721337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,PP,Total commercial debt,Real,2025,,7201.240135287486,6142.916472306357,5105.344253697407,4088.116588394515,3090.834563587758,2113.107088287016,1154.5507399529547,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478,214.7896141352478
CL-001,36,PP,Costs of debt in 2025 dollars,Real,2025,,411.49943630214204,370.41328204339516,311.271665582685,254.30691632572305,199.45640496135138,146.65912129511133,95.8556348334061,46.988056290885346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
