ProjectId,LifeCycleMonths,Capex item,Scenario,Value basis,Base year,Applicant comment,ExpenseType,Year,Cost
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2025,0
CL-001,36,Civil works,BC,Real,2025,,capex,2025,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2025,0
CL-001,36,Installation,BC,Real,2025,,capex,2025,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2025,0
CL-001,36,Project management,BC,Real,2025,,capex,2025,0
CL-001,36,Other,BC,Real,2025,,capex,2025,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2026,0
CL-001,36,Civil works,BC,Real,2025,,capex,2026,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2026,0
CL-001,36,Installation,BC,Real,2025,,capex,2026,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2026,0
CL-001,36,Project management,BC,Real,2025,,capex,2026,0
CL-001,36,Other,BC,Real,2025,,capex,2026,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2027,0
CL-001,36,Civil works,BC,Real,2025,,capex,2027,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2027,0
CL-001,36,Installation,BC,Real,2025,,capex,2027,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2027,0
CL-001,36,Project management,BC,Real,2025,,capex,2027,0
CL-001,36,Other,BC,Real,2025,,capex,2027,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2028,0
CL-001,36,Civil works,BC,Real,2025,,capex,2028,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2028,0
CL-001,36,Installation,BC,Real,2025,,capex,2028,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2028,0
CL-001,36,Project management,BC,Real,2025,,capex,2028,0
CL-001,36,Other,BC,Real,2025,,capex,2028,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2029,0
CL-001,36,Civil works,BC,Real,2025,,capex,2029,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2029,0
CL-001,36,Installation,BC,Real,2025,,capex,2029,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2029,0
CL-001,36,Project management,BC,Real,2025,,capex,2029,0
CL-001,36,Other,BC,Real,2025,,capex,2029,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2030,0
CL-001,36,Civil works,BC,Real,2025,,capex,2030,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2030,0
CL-001,36,Installation,BC,Real,2025,,capex,2030,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2030,0
CL-001,36,Project management,BC,Real,2025,,capex,2030,0
CL-001,36,Other,BC,Real,2025,,capex,2030,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2031,0
CL-001,36,Civil works,BC,Real,2025,,capex,2031,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2031,0
CL-001,36,Installation,BC,Real,2025,,capex,2031,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2031,0
CL-001,36,Project management,BC,Real,2025,,capex,2031,0
CL-001,36,Other,BC,Real,2025,,capex,2031,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2032,0
CL-001,36,Civil works,BC,Real,2025,,capex,2032,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2032,0
CL-001,36,Installation,BC,Real,2025,,capex,2032,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2032,0
CL-001,36,Project management,BC,Real,2025,,capex,2032,0
CL-001,36,Other,BC,Real,2025,,capex,2032,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2033,0
CL-001,36,Civil works,BC,Real,2025,,capex,2033,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2033,0
CL-001,36,Installation,BC,Real,2025,,capex,2033,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2033,0
CL-001,36,Project management,BC,Real,2025,,capex,2033,0
CL-001,36,Other,BC,Real,2025,,capex,2033,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2034,0
CL-001,36,Civil works,BC,Real,2025,,capex,2034,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2034,0
CL-001,36,Installation,BC,Real,2025,,capex,2034,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2034,0
CL-001,36,Project management,BC,Real,2025,,capex,2034,0
CL-001,36,Other,BC,Real,2025,,capex,2034,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2035,0
