ProjectId,LifeCycleMonths,Capex item,Scenario,Value basis,Base year,Applicant comment,ExpenseType,Year,Cost
CL-001,36,Civil works,BC,Real,2025,,capex,2035,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2035,0
CL-001,36,Installation,BC,Real,2025,,capex,2035,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2035,0
CL-001,36,Project management,BC,Real,2025,,capex,2035,0
CL-001,36,Other,BC,Real,2025,,capex,2035,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2036,0
CL-001,36,Civil works,BC,Real,2025,,capex,2036,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2036,0
CL-001,36,Installation,BC,Real,2025,,capex,2036,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2036,0
CL-001,36,Project management,BC,Real,2025,,capex,2036,0
CL-001,36,Other,BC,Real,2025,,capex,2036,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2037,0
CL-001,36,Civil works,BC,Real,2025,,capex,2037,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2037,0
CL-001,36,Installation,BC,Real,2025,,capex,2037,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2037,0
CL-001,36,Project management,BC,Real,2025,,capex,2037,0
CL-001,36,Other,BC,Real,2025,,capex,2037,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2038,0
CL-001,36,Civil works,BC,Real,2025,,capex,2038,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2038,0
CL-001,36,Installation,BC,Real,2025,,capex,2038,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2038,0
CL-001,36,Project management,BC,Real,2025,,capex,2038,0
CL-001,36,Other,BC,Real,2025,,capex,2038,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2039,0
CL-001,36,Civil works,BC,Real,2025,,capex,2039,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2039,0
CL-001,36,Installation,BC,Real,2025,,capex,2039,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2039,0
CL-001,36,Project management,BC,Real,2025,,capex,2039,0
CL-001,36,Other,BC,Real,2025,,capex,2039,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2040,0
CL-001,36,Civil works,BC,Real,2025,,capex,2040,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2040,0
CL-001,36,Installation,BC,Real,2025,,capex,2040,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2040,0
CL-001,36,Project management,BC,Real,2025,,capex,2040,0
CL-001,36,Other,BC,Real,2025,,capex,2040,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2041,0
CL-001,36,Civil works,BC,Real,2025,,capex,2041,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2041,0
CL-001,36,Installation,BC,Real,2025,,capex,2041,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2041,0
CL-001,36,Project management,BC,Real,2025,,capex,2041,0
CL-001,36,Other,BC,Real,2025,,capex,2041,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2042,0
CL-001,36,Civil works,BC,Real,2025,,capex,2042,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2042,0
CL-001,36,Installation,BC,Real,2025,,capex,2042,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2042,0
CL-001,36,Project management,BC,Real,2025,,capex,2042,0
CL-001,36,Other,BC,Real,2025,,capex,2042,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2043,0
CL-001,36,Civil works,BC,Real,2025,,capex,2043,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2043,0
CL-001,36,Installation,BC,Real,2025,,capex,2043,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2043,0
CL-001,36,Project management,BC,Real,2025,,capex,2043,0
CL-001,36,Other,BC,Real,2025,,capex,2043,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2044,0
CL-001,36,Civil works,BC,Real,2025,,capex,2044,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2044,0
CL-001,36,Installation,BC,Real,2025,,capex,2044,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2044,0
CL-001,36,Project management,BC,Real,2025,,capex,2044,0
CL-001,36,Other,BC,Real,2025,,capex,2044,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2045,0
CL-001,36,Civil works,BC,Real,2025,,capex,2045,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2045,0
CL-001,36,Installation,BC,Real,2025,,capex,2045,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2045,0
CL-001,36,Project management,BC,Real,2025,,capex,2045,0
CL-001,36,Other,BC,Real,2025,,capex,2045,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2046,0
CL-001,36,Civil works,BC,Real,2025,,capex,2046,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2046,0
CL-001,36,Installation,BC,Real,2025,,capex,2046,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2046,0
CL-001,36,Project management,BC,Real,2025,,capex,2046,0
CL-001,36,Other,BC,Real,2025,,capex,2046,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2047,0
CL-001,36,Civil works,BC,Real,2025,,capex,2047,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2047,0
CL-001,36,Installation,BC,Real,2025,,capex,2047,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2047,0
CL-001,36,Project management,BC,Real,2025,,capex,2047,0
CL-001,36,Other,BC,Real,2025,,capex,2047,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2048,0
CL-001,36,Civil works,BC,Real,2025,,capex,2048,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2048,0
CL-001,36,Installation,BC,Real,2025,,capex,2048,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2048,0
CL-001,36,Project management,BC,Real,2025,,capex,2048,0
CL-001,36,Other,BC,Real,2025,,capex,2048,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2049,0
CL-001,36,Civil works,BC,Real,2025,,capex,2049,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2049,0
CL-001,36,Installation,BC,Real,2025,,capex,2049,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2049,0
CL-001,36,Project management,BC,Real,2025,,capex,2049,0
CL-001,36,Other,BC,Real,2025,,capex,2049,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2050,0
CL-001,36,Civil works,BC,Real,2025,,capex,2050,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2050,0
CL-001,36,Installation,BC,Real,2025,,capex,2050,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2050,0
CL-001,36,Project management,BC,Real,2025,,capex,2050,0
CL-001,36,Other,BC,Real,2025,,capex,2050,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2051,0
CL-001,36,Civil works,BC,Real,2025,,capex,2051,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2051,0
CL-001,36,Installation,BC,Real,2025,,capex,2051,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2051,0
CL-001,36,Project management,BC,Real,2025,,capex,2051,0
CL-001,36,Other,BC,Real,2025,,capex,2051,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2052,0
CL-001,36,Civil works,BC,Real,2025,,capex,2052,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2052,0
CL-001,36,Installation,BC,Real,2025,,capex,2052,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2052,0
CL-001,36,Project management,BC,Real,2025,,capex,2052,0
CL-001,36,Other,BC,Real,2025,,capex,2052,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2053,0
CL-001,36,Civil works,BC,Real,2025,,capex,2053,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2053,0
CL-001,36,Installation,BC,Real,2025,,capex,2053,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2053,0
CL-001,36,Project management,BC,Real,2025,,capex,2053,0
CL-001,36,Other,BC,Real,2025,,capex,2053,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2054,0
CL-001,36,Civil works,BC,Real,2025,,capex,2054,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2054,0
CL-001,36,Installation,BC,Real,2025,,capex,2054,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2054,0
CL-001,36,Project management,BC,Real,2025,,capex,2054,0
CL-001,36,Other,BC,Real,2025,,capex,2054,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2055,0
CL-001,36,Civil works,BC,Real,2025,,capex,2055,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2055,0
CL-001,36,Installation,BC,Real,2025,,capex,2055,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2055,0
CL-001,36,Project management,BC,Real,2025,,capex,2055,0
CL-001,36,Other,BC,Real,2025,,capex,2055,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2056,0
CL-001,36,Civil works,BC,Real,2025,,capex,2056,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2056,0
CL-001,36,Installation,BC,Real,2025,,capex,2056,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2056,0
CL-001,36,Project management,BC,Real,2025,,capex,2056,0
CL-001,36,Other,BC,Real,2025,,capex,2056,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2057,0
CL-001,36,Civil works,BC,Real,2025,,capex,2057,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2057,0
CL-001,36,Installation,BC,Real,2025,,capex,2057,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2057,0
CL-001,36,Project management,BC,Real,2025,,capex,2057,0
CL-001,36,Other,BC,Real,2025,,capex,2057,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2058,0
CL-001,36,Civil works,BC,Real,2025,,capex,2058,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2058,0
CL-001,36,Installation,BC,Real,2025,,capex,2058,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2058,0
CL-001,36,Project management,BC,Real,2025,,capex,2058,0
CL-001,36,Other,BC,Real,2025,,capex,2058,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2059,0
CL-001,36,Civil works,BC,Real,2025,,capex,2059,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2059,0
CL-001,36,Installation,BC,Real,2025,,capex,2059,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2059,0
CL-001,36,Project management,BC,Real,2025,,capex,2059,0
CL-001,36,Other,BC,Real,2025,,capex,2059,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2060,0
CL-001,36,Civil works,BC,Real,2025,,capex,2060,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2060,0
CL-001,36,Installation,BC,Real,2025,,capex,2060,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2060,0
CL-001,36,Project management,BC,Real,2025,,capex,2060,0
CL-001,36,Other,BC,Real,2025,,capex,2060,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2061,0
CL-001,36,Civil works,BC,Real,2025,,capex,2061,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2061,0
CL-001,36,Installation,BC,Real,2025,,capex,2061,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2061,0
CL-001,36,Project management,BC,Real,2025,,capex,2061,0
CL-001,36,Other,BC,Real,2025,,capex,2061,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2062,0
CL-001,36,Civil works,BC,Real,2025,,capex,2062,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2062,0
CL-001,36,Installation,BC,Real,2025,,capex,2062,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2062,0
CL-001,36,Project management,BC,Real,2025,,capex,2062,0
CL-001,36,Other,BC,Real,2025,,capex,2062,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2063,0
CL-001,36,Civil works,BC,Real,2025,,capex,2063,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2063,0
CL-001,36,Installation,BC,Real,2025,,capex,2063,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2063,0
CL-001,36,Project management,BC,Real,2025,,capex,2063,0
CL-001,36,Other,BC,Real,2025,,capex,2063,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2064,0
CL-001,36,Civil works,BC,Real,2025,,capex,2064,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2064,0
CL-001,36,Installation,BC,Real,2025,,capex,2064,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2064,0
CL-001,36,Project management,BC,Real,2025,,capex,2064,0
CL-001,36,Other,BC,Real,2025,,capex,2064,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2065,0
CL-001,36,Civil works,BC,Real,2025,,capex,2065,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2065,0
CL-001,36,Installation,BC,Real,2025,,capex,2065,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2065,0
CL-001,36,Project management,BC,Real,2025,,capex,2065,0
CL-001,36,Other,BC,Real,2025,,capex,2065,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2066,0
CL-001,36,Civil works,BC,Real,2025,,capex,2066,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2066,0
CL-001,36,Installation,BC,Real,2025,,capex,2066,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2066,0
CL-001,36,Project management,BC,Real,2025,,capex,2066,0
CL-001,36,Other,BC,Real,2025,,capex,2066,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2067,0
CL-001,36,Civil works,BC,Real,2025,,capex,2067,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2067,0
CL-001,36,Installation,BC,Real,2025,,capex,2067,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2067,0
CL-001,36,Project management,BC,Real,2025,,capex,2067,0
CL-001,36,Other,BC,Real,2025,,capex,2067,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2068,0
CL-001,36,Civil works,BC,Real,2025,,capex,2068,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2068,0
CL-001,36,Installation,BC,Real,2025,,capex,2068,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2068,0
CL-001,36,Project management,BC,Real,2025,,capex,2068,0
CL-001,36,Other,BC,Real,2025,,capex,2068,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2069,0
CL-001,36,Civil works,BC,Real,2025,,capex,2069,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2069,0
CL-001,36,Installation,BC,Real,2025,,capex,2069,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2069,0
CL-001,36,Project management,BC,Real,2025,,capex,2069,0
CL-001,36,Other,BC,Real,2025,,capex,2069,0
CL-001,36,Equipment purchase,BC,Real,2025,,capex,2070,0
CL-001,36,Civil works,BC,Real,2025,,capex,2070,0
CL-001,36,Electrical works,BC,Real,2025,,capex,2070,0
CL-001,36,Installation,BC,Real,2025,,capex,2070,0
CL-001,36,Indirect costs,BC,Real,2025,,capex,2070,0
CL-001,36,Project management,BC,Real,2025,,capex,2070,0
CL-001,36,Other,BC,Real,2025,,capex,2070,0
